,actual,temperature,precipitation,air_density,cloud_cover
2012/1/18 7:00,41701.38872,4.315,0,1.281,0.2
2012/1/18 8:00,40107.99866,6.564,0,1.276,0.228
2012/1/18 9:00,38421.77184,9.147,0,1.267,0.357
2012/1/18 10:00,37005.49836,11.321,0,1.259,0.246
2012/1/18 11:00,35485.38068,13.375,0,1.249,0.176
2012/1/18 12:00,34080.64207,14.912,0,1.24,0.166
2012/1/18 13:00,33053.42652,16.003,0,1.233,0.154
2012/1/18 14:00,32195.63783,16.56,0,1.228,0.124
2012/1/18 15:00,31645.34925,16.442,0,1.226,0.108
2012/1/18 16:00,31715.2513,15.655,0,1.226,0.069
2012/1/18 17:00,32768.37891,12.842,0,1.227,0.027
2012/1/18 18:00,35798.86879,10.792,0,1.23,0.012
2012/1/18 19:00,36261.14605,9.888,0,1.233,0.002
2012/1/18 20:00,36090.67138,9.531,0,1.236,0
2012/1/18 21:00,35064.46848,9.044,0,1.239,0.004
2012/1/18 22:00,32826.07853,8.833,0,1.24,0.01
2012/1/18 23:00,30630.4984,8.647,0,1.24,0.009
2012/1/19 0:00,29257.55959,8.538,0,1.24,0.034
2012/1/19 1:00,28615.20253,8.587,0,1.24,0.087
2012/1/19 2:00,28334.08197,8.768,0,1.239,0.181
2012/1/19 3:00,28411.04172,9.052,0,1.237,0.26
2012/1/19 4:00,29261.8115,9.444,0,1.235,0.325
2012/1/19 5:00,31635.25364,9.73,0,1.234,0.358
2012/1/19 6:00,35652.00042,10.051,0.003,1.232,0.412
2012/1/19 7:00,36662.42745,11.177,0.006,1.231,0.454
